15,28,20,39,17,46,17,38,18,13
36,47,45,42,42,30,27,19,33,19
22,17,13,46,38,44,32,48,28,30
39,11,49,29,38,22,34,15,18,16
29,45,41,35,22,32,41,35,21,45
11,35,20,11,42,39,25,15,17,35
44,34,16,18,12,29,32,20,39,27
31,37,30,48,30,31,28,38,15,41
43,20,18,18,16,11,42,31,42,46
20,30,46,21,28,20,26,37,37,35
42,42,20,43,12,20,44,48,17,49
35,43,38,39,34,23,30,37,47,41
12,28,24,15,40,39,40,35,34,34
41,48,42,20,37,44,16,11,38,11
44,27,21,38,24,46,24,34,48,37
17,43,39,47,22,25,19,38,23,11
26,39,44,46,14,30,17,14,25,19
39,31,24,43,21,17,16,49,25,24
14,46,18,21,13,40,48,15,31,46
38,20,28,18,15,40,23,18,35,23
