21,30,21,19,41,27,18,34,20,13,45,44,31,15,37,46,50,47,11,29,26,22,13,11,29,26,29,23,41,19,28,11,35,30,31,16,42,28,11,23
30,16,30,19,25,24,47,27,28,28,25,30,33,18,20,19,18,30,27,13,43,14,23,16,38,50,15,20,40,38,24,41,48,24,13,37,36,45,21,20
25,19,18,37,32,36,19,35,45,38,43,22,19,35,14,21,23,41,41,15,46,28,15,25,15,31,20,16,28,16,10,31,46,38,49,11,14,26,48,29
50,12,29,22,38,37,35,37,11,46,19,50,24,13,41,24,16,42,36,22,18,42,36,31,43,34,43,18,44,45,21,39,39,31,16,44,31,49,28,40
41,45,41,13,47,19,29,38,46,45,47,35,16,48,45,15,14,41,31,40,24,15,31,34,28,29,28,22,30,12,45,42,24,15,44,15,19,17,35,33
14,40,46,49,38,19,21,40,11,28,28,21,16,48,14,27,34,43,17,49,24,21,30,45,44,18,41,29,48,39,23,20,20,49,16,38,39,21,23,46
45,14,11,37,45,14,25,21,30,47,36,24,46,19,12,47,14,16,46,48,27,39,14,37,17,47,46,26,49,11,34,29,12,48,45,10,12,50,21,14
41,44,20,32,15,50,24,27,17,19,35,23,31,41,34,18,32,28,24,46,24,23,50,16,18,46,31,15,41,22,41,34,40,30,27,35,12,15,15,24
20,30,17,49,48,14,39,30,46,29,48,48,27,48,34,27,46,49,38,20,26,50,47,21,31,30,26,28,50,43,45,35,23,32,24,16,11,17,45,33
30,14,27,47,49,42,39,48,35,39,26,47,20,27,48,22,17,31,38,50,36,14,28,19,46,19,21,16,29,49,11,34,11,44,49,33,12,29,43,46
40,31,28,47,29,48,29,46,33,30,11,33,11,17,37,13,40,41,11,31,29,26,34,22,12,19,18,12,36,44,26,33,15,47,39,12,17,33,41,37
40,48,46,32,47,27,34,49,44,23,30,46,26,14,29,46,11,22,23,47,43,37,12,29,27,36,24,14,12,41,11,40,11,41,39,50,39,25,23,38
32,45,35,48,21,43,18,28,49,43,35,20,27,24,26,44,46,19,28,30,14,39,16,26,48,42,27,35,36,44,34,18,49,12,12,26,14,16,24,15
10,49,45,42,41,29,28,22,23,34,14,49,20,24,37,41,35,18,23,21,11,13,49,39,13,18,40,34,47,45,13,42,47,29,25,14,28,42,10,44
22,45,36,27,37,24,16,34,46,37,34,44,38,31,26,43,34,25,17,11,19,50,43,25,22,36,34,11,46,43,29,42,39,34,18,32,33,24,26,40
20,28,26,30,22,42,35,12,16,34,10,38,24,44,29,23,28,35,30,31,18,46,18,32,20,33,21,24,28,50,36,50,34,23,31,35,19,16,39,30
38,45,32,14,48,14,19,45,45,43,41,37,14,23,26,31,24,42,22,23,29,45,19,19,21,48,25,49,22,47,25,45,35,41,32,12,28,19,30,42
47,44,19,42,15,18,11,25,20,17,48,18,29,38,49,34,34,42,30,10,36,48,44,34,31,28,34,25,26,22,13,24,14,12,35,19,14,44,25,13
24,42,36,20,22,40,16,43,26,29,42,34,22,37,29,44,17,31,35,43,15,32,32,46,39,49,21,46,31,24,50,30,46,11,12,40,26,13,13,39
33,11,14,11,32,34,23,49,40,37,43,36,50,19,48,46,16,13,36,43,13,31,49,32,30,31,24,32,19,49,32,41,12,20,42,34,45,45,49,39
