14,17,7,41,24,9,40,12,20,40,23,33,27,28,43,15,45,46,10,46
19,36,14,27,41,28,5,36,26,28,12,6,6,44,46,31,39,31,42,23
7,35,32,29,12,12,22,11,6,11,19,49,36,30,12,46,30,30,21,35
28,32,42,30,15,38,27,22,12,38,28,41,10,29,9,43,41,8,46,31
10,26,49,35,45,43,29,30,26,30,21,13,43,47,13,26,47,36,41,25
30,45,30,47,40,14,9,5,30,16,26,25,23,7,46,21,50,13,39,47
22,29,26,19,15,15,22,21,29,40,22,50,12,8,44,47,34,11,11,47
34,45,7,20,39,48,14,37,11,25,21,37,36,15,33,35,42,16,31,12
43,44,49,20,45,34,9,19,40,46,10,14,32,22,25,26,13,15,47,49
30,36,46,10,13,7,8,32,28,48,25,5,13,27,39,43,12,43,13,42
