39,13,50,21,32,37,47,29,13,20,32,36,37,28,39,44,8,11,26,31,7,21,27,13,7,6,29,7,12,45,28,11,22,28,11,28,46,10,14,44
46,21,27,46,29,31,15,38,34,47,33,49,21,50,17,14,34,19,39,25,11,24,34,34,37,18,16,38,46,14,42,18,28,19,21,49,23,9,31,24
28,41,42,7,47,9,33,32,33,15,32,42,10,43,8,18,41,18,8,42,50,42,44,39,16,38,43,13,7,40,19,43,10,39,16,21,30,34,23,26
41,15,27,43,25,39,7,9,43,43,20,38,48,45,32,20,39,35,10,19,21,49,27,43,24,7,49,9,23,36,27,27,18,30,23,40,36,32,48,43
19,43,11,23,23,42,6,7,37,11,31,40,28,35,39,45,21,44,12,30,11,42,37,40,40,40,16,31,46,40,31,29,6,38,21,41,19,44,31,13
46,27,23,17,49,19,30,33,8,34,31,21,38,12,26,32,39,26,37,30,6,14,9,39,5,31,22,6,25,40,23,12,39,9,22,38,5,18,39,30
12,41,34,32,24,22,30,26,37,30,31,17,27,49,14,28,45,15,14,49,18,17,36,24,10,26,27,39,11,11,40,46,20,20,28,39,11,21,34,42
39,30,38,25,33,32,39,34,47,41,6,11,48,35,50,30,33,17,49,23,30,43,40,44,38,35,30,39,9,28,17,48,22,24,6,27,12,8,23,12
12,5,48,50,22,7,39,7,48,12,50,34,42,14,46,21,27,45,47,49,33,10,16,26,48,38,47,22,28,30,36,6,17,19,37,15,48,44,32,10
10,25,10,24,43,25,45,38,19,36,49,40,47,26,23,42,11,19,46,16,18,49,39,28,11,25,49,26,43,39,22,14,41,28,45,6,48,19,49,48
