18,29,32,43,39,40,16,40,34,46,10,14,25,40,18,45,22,47,41,22
33,43,8,5,27,45,24,20,16,45,45,29,34,48,7,20,28,24,28,45
25,32,15,29,20,26,28,17,43,43,8,38,19,12,30,49,45,40,25,46
38,32,13,50,49,20,26,32,39,8,34,8,45,14,32,43,26,40,24,18
10,30,9,47,39,25,28,23,27,13,35,46,9,26,27,20,41,16,37,32
25,45,9,18,11,14,28,48,24,43,33,36,34,47,43,19,13,24,42,12
44,9,33,36,38,45,28,45,21,19,28,22,47,29,10,37,12,33,17,21
19,18,6,18,49,15,5,41,26,21,35,15,23,11,12,15,16,44,40,25
35,7,11,29,10,39,49,44,25,50,31,27,48,17,31,14,41,28,42,30
16,25,28,5,31,13,31,22,11,26,39,15,45,14,22,19,13,17,42,12
5,30,26,17,15,19,15,28,26,46,10,43,35,19,18,13,46,7,11,41
27,9,35,36,26,49,29,48,39,6,36,43,22,17,32,13,21,10,48,36
47,12,6,30,17,28,9,25,33,11,12,26,15,48,31,42,33,12,19,45
44,50,29,6,27,48,34,33,47,42,15,36,17,13,6,17,8,29,47,12
39,12,7,40,33,33,37,32,48,37,46,9,25,48,47,13,15,8,25,42
48,25,43,17,21,12,9,15,42,19,26,26,38,28,21,48,30,15,44,41
18,34,6,35,10,26,37,6,24,6,34,24,5,19,7,46,42,12,50,13
48,44,28,46,31,27,33,7,25,19,29,49,10,36,8,12,13,32,30,7
27,27,43,29,17,37,15,35,45,8,47,38,44,8,33,23,41,36,21,8
28,37,43,21,29,44,25,37,25,8,36,22,38,6,48,14,47,30,37,21
