10,41,46,40,36,15,13,48,27,20,12,26,33,19,22,11,41,37,35,36,16,36,28,23,27,31,26,21,31,47
33,26,20,47,11,35,48,47,40,47,31,14,40,30,36,18,50,42,38,12,17,22,17,26,16,18,49,30,13,22
32,17,19,21,30,15,13,39,17,16,32,27,18,38,43,33,16,45,40,41,11,18,44,11,43,48,43,37,40,49
43,10,20,30,34,28,13,29,36,13,31,48,11,31,34,44,37,35,42,35,48,45,43,33,50,38,34,40,12,18
33,19,13,36,37,36,45,45,13,19,43,50,26,48,29,13,40,46,38,32,28,20,12,35,36,24,42,43,40,22
32,40,12,49,45,21,42,17,22,39,26,31,42,40,32,38,14,21,32,42,33,30,30,26,41,42,40,38,10,37
35,26,45,48,25,28,20,25,20,34,38,33,21,33,40,40,32,32,45,24,39,27,40,20,15,11,40,18,39,21
39,49,14,15,50,22,13,28,23,46,47,43,17,34,41,12,42,34,41,46,44,48,28,37,17,39,18,21,19,30
37,38,29,21,15,35,37,16,30,12,26,32,36,48,12,37,45,27,48,16,19,12,27,12,46,47,27,36,13,48
23,27,22,32,10,41,31,34,11,19,11,10,11,35,13,44,30,24,41,41,23,38,12,16,18,14,18,37,16,31
