4,7,7,5,6,4,4,3,6,6,9,2,5,3,12,5,4,2,8,3,5,5,5,3,8,6,3,14,3,7
13,4,3,2,4,4,4,6,6,8,2,2,5,10,3,7,5,7,2,4,5,3,11,3,13,11,6,6,12,5
6,6,3,4,5,3,2,8,6,5,3,6,10,2,2,8,7,1,2,2,2,5,12,8,6,5,12,8,5,7
9,2,2,3,6,9,7,2,4,10,4,7,8,5,7,2,3,10,2,3,11,3,2,2,2,5,4,12,12,5
1,7,2,4,5,13,8,2,5,4,6,9,3,8,5,8,7,11,2,5,7,6,13,8,10,14,3,6,4,5
4,4,9,3,8,5,5,6,10,7,11,10,4,4,5,4,8,7,2,5,3,6,2,2,8,6,9,2,4,11
13,7,10,6,7,7,5,5,10,11,9,5,5,9,5,8,6,8,6,10,7,8,8,6,13,8,2,3,6,9
9,3,7,5,3,7,2,2,6,2,10,4,5,9,5,2,7,8,11,5,6,6,9,10,2,6,3,2,2,11
9,6,7,5,3,5,5,3,2,4,3,8,3,7,4,4,9,2,7,12,10,11,1,7,1,7,4,4,3,7
3,2,14,2,9,3,6,8,4,3,4,6,1,5,4,7,7,7,3,2,10,6,6,9,13,3,12,4,6,8
