50,23,43,32,42,40,23,45,27,7
34,16,19,30,24,19,8,23,13,23
38,41,40,15,35,9,47,42,32,50
27,46,45,15,29,32,35,38,16,23
28,24,35,26,6,6,32,20,19,45
50,34,21,30,12,35,11,15,15,6
38,36,41,22,9,45,44,30,48,6
16,13,11,45,47,10,44,39,27,27
46,25,47,46,45,39,6,17,23,13
20,49,41,9,10,16,39,16,31,28
22,14,25,25,8,29,43,48,14,47
13,15,27,48,15,19,48,44,6,45
47,40,8,11,34,45,27,17,50,6
38,30,23,46,17,42,8,29,19,6
7,30,28,21,26,47,10,46,49,24
16,37,25,50,11,12,26,28,38,11
39,43,5,40,11,41,11,30,36,38
25,35,16,14,41,33,21,44,26,16
44,22,31,42,28,15,43,32,12,45
13,7,35,13,18,13,23,20,26,30
