36,27,23,25,39,12,21,32,36,25,25,39,32,28,50,39,41,35,21,31
16,39,30,22,26,14,41,22,11,40,27,25,30,11,29,39,30,36,34,32
17,13,31,40,35,49,40,38,23,13,21,44,28,33,40,43,36,26,26,26
43,45,20,34,14,19,43,25,33,34,39,43,39,21,13,39,37,37,47,27
37,25,41,22,26,16,41,37,42,34,12,42,46,46,23,34,10,48,20,17
24,44,37,48,13,48,30,13,31,31,38,46,10,11,19,42,17,22,48,13
45,19,14,27,49,40,30,15,14,14,40,23,32,48,35,24,41,37,46,11
17,17,10,41,39,21,25,41,46,43,39,22,26,27,19,16,31,40,13,28
25,36,29,31,49,16,25,37,49,46,27,31,44,30,37,46,35,34,16,12
11,25,34,49,47,40,25,32,39,13,20,31,26,15,39,45,40,11,32,42
