29,24,32,38,48,44,17,26,22,35
47,49,37,41,34,50,36,20,27,27
47,12,29,14,47,39,24,17,25,17
45,11,15,30,13,23,18,50,44,36
47,46,40,16,24,22,40,22,39,33
34,11,22,45,13,33,49,25,24,47
47,39,36,13,40,20,40,43,14,22
30,37,35,40,20,40,36,40,37,10
36,40,16,42,36,24,47,13,29,33
22,11,13,29,39,35,16,11,30,15
23,46,42,12,25,43,37,36,13,38
21,18,50,20,28,29,43,37,45,12
31,46,15,34,14,23,33,37,14,49
11,40,48,32,29,30,45,29,23,48
24,40,31,14,18,40,36,14,22,45
37,25,10,31,11,13,33,45,35,26
13,44,15,15,46,36,40,49,20,22
22,31,49,14,39,44,28,49,45,36
24,40,32,20,12,47,39,29,35,19
49,19,33,34,28,14,26,14,13,16
