10,5,4,6,8,11,4,3,4,8,5,13,2,3,7,10,4,5,5,8,7,5,2,13,5,10,4,9,6,6,3,9,11,7,6,6,2,8,11,13
2,7,8,7,4,6,8,6,7,6,4,10,10,3,8,6,9,5,7,5,12,3,4,11,11,6,4,2,11,6,4,10,8,4,3,2,2,6,8,6
7,3,9,3,6,3,8,7,7,7,1,6,11,3,4,9,9,5,11,10,7,7,6,2,3,6,3,6,5,2,2,9,2,3,7,7,7,9,12,10
2,6,11,3,2,2,11,2,3,8,7,2,3,3,3,9,10,4,5,8,7,3,1,8,1,7,5,6,3,9,8,5,4,8,5,7,9,6,3,10
14,7,6,3,8,6,7,7,5,5,6,4,3,12,9,10,9,7,5,2,8,10,4,6,8,11,3,4,4,10,4,2,9,9,7,6,4,2,3,4
4,4,3,12,9,6,6,6,10,4,5,2,8,9,8,6,3,4,6,8,9,10,3,7,7,4,4,2,9,7,4,7,10,9,5,6,3,11,8,8
3,4,5,3,4,5,4,6,12,6,5,8,5,13,4,2,2,4,2,7,4,10,3,4,3,7,4,14,6,3,2,5,7,4,2,13,7,6,9,4
11,10,6,9,4,8,4,9,4,2,1,5,7,5,5,3,2,3,8,10,7,7,10,5,4,5,9,10,3,9,5,15,5,8,12,8,8,5,4,3
7,6,3,5,3,7,6,6,3,10,4,6,11,6,5,7,7,2,7,8,1,11,2,2,3,4,12,11,4,11,2,9,6,2,9,3,6,2,3,6
6,10,3,6,2,8,6,5,8,2,2,4,6,1,5,5,11,3,2,13,4,9,7,4,6,8,5,2,4,12,5,7,2,9,12,5,5,5,7,4
