22,41,17,19,29,12,34,19,38,22
17,29,22,15,43,8,21,40,14,44
43,32,41,11,17,10,34,46,50,29
12,35,15,12,48,10,29,46,25,50
39,14,6,49,6,32,10,34,39,24
23,33,38,44,42,44,8,6,46,42
46,30,20,21,9,47,37,38,45,12
21,46,47,30,15,17,39,7,39,9
26,46,39,37,28,25,37,29,26,26
27,19,7,16,41,42,9,5,40,41
49,39,40,11,34,21,40,37,14,14
39,9,19,11,50,6,43,15,14,40
17,50,34,38,22,49,20,20,17,15
44,12,22,8,15,50,24,24,22,44
37,10,26,39,19,15,22,10,37,24
31,30,42,21,9,47,27,6,27,38
14,42,7,48,48,17,15,30,16,28
27,21,35,29,20,12,11,18,7,38
11,9,13,27,24,11,36,20,49,10
41,17,16,5,37,20,43,24,10,47
