23,32,23,5,43,32,19,26,20,32
21,18,25,15,23,9,22,33,16,39
33,46,29,41,45,19,14,35,22,42
38,50,23,35,26,20,23,10,11,32
19,38,27,44,26,10,10,40,35,21
15,32,40,41,44,27,27,39,48,10
41,12,31,25,9,13,34,33,29,13
14,30,18,25,26,30,15,47,41,46
31,45,20,9,12,31,40,23,10,19
24,47,12,39,31,43,14,35,25,28
26,20,18,34,10,18,33,49,38,16
31,26,7,33,16,12,35,17,40,37
41,18,17,37,39,29,29,47,49,10
28,18,36,24,24,28,21,29,23,31
49,6,24,35,31,13,44,22,11,36
24,13,24,9,26,46,49,47,15,9
45,32,47,20,35,47,16,25,35,36
37,32,50,29,40,11,10,11,39,49
28,24,43,6,17,36,31,27,20,44
8,30,6,26,38,22,14,21,42,45
