11,37,33,28,14,20,40,18,18,37,44,24,22,43,14,48,32,30,25,36,37,18,38,28,30,14,31,28,49,40,45,42,12,39,21,21,48,37,36,14,26,28,29,35,31,25,14,21,35,36
18,15,38,38,32,12,15,34,18,36,17,33,20,19,25,43,45,13,42,26,34,15,50,26,20,46,28,18,29,27,22,37,29,20,11,10,16,41,29,48,45,44,41,26,38,13,26,22,28,36
25,19,45,14,26,42,31,46,19,13,39,35,29,30,11,17,15,22,30,37,35,40,38,49,30,45,30,28,23,41,16,29,30,46,47,11,21,41,30,29,45,14,42,38,18,37,24,32,27,50
10,10,21,27,15,40,27,33,24,13,24,31,36,48,24,31,19,20,14,34,18,27,13,11,39,41,23,42,22,46,12,14,21,25,34,32,14,47,47,44,37,17,18,16,36,27,30,33,38,24
27,24,23,25,23,10,38,24,22,30,11,29,15,44,16,35,43,44,22,43,18,32,41,20,40,21,42,10,24,26,23,21,46,30,17,37,25,41,48,43,22,43,19,47,15,44,33,22,13,34
37,47,17,23,14,39,32,19,19,28,34,34,25,38,18,49,12,25,37,22,40,36,39,27,11,31,35,19,15,23,31,14,25,42,32,46,49,19,17,47,44,29,28,36,18,13,47,39,15,25
32,16,31,21,15,31,24,32,49,41,44,13,28,39,30,10,19,28,44,50,12,44,15,37,20,39,42,42,29,48,38,40,14,15,22,25,38,23,45,21,14,48,28,18,47,12,46,22,28,45
20,11,33,13,47,25,34,20,43,33,45,50,14,30,40,45,17,28,13,46,38,12,43,11,35,19,15,50,46,49,19,45,36,32,14,24,15,13,26,11,24,18,16,22,36,46,34,35,31,49
15,20,17,30,15,17,34,36,21,50,16,27,37,36,42,36,10,36,37,13,24,35,10,30,43,30,40,32,38,37,43,47,34,33,19,46,21,44,34,47,18,24,36,11,42,20,34,14,41,18
25,19,45,27,28,40,16,15,23,43,11,16,22,48,33,50,15,46,20,42,48,21,40,42,16,46,19,34,36,39,42,18,46,47,40,13,32,39,29,37,23,33,47,26,10,48,27,32,44,13
15,30,30,40,23,17,35,28,32,12,44,47,41,45,50,18,43,16,21,26,46,23,36,49,23,32,33,35,26,13,26,40,46,32,46,17,28,47,17,22,33,13,38,33,47,15,19,48,32,37
16,47,34,44,33,33,50,43,48,48,24,15,47,45,24,21,48,24,12,33,18,34,38,14,43,12,12,30,34,49,34,30,40,14,41,46,46,31,16,32,19,15,21,39,11,43,14,35,15,50
46,26,43,33,44,49,32,33,25,48,40,33,30,25,13,16,22,26,48,45,39,17,39,32,47,14,43,19,31,41,17,19,41,32,46,34,17,39,47,49,12,33,40,39,13,22,31,32,18,22
39,15,30,15,23,29,40,33,29,12,30,42,34,23,41,31,22,40,46,13,33,29,14,15,10,33,33,24,46,30,11,21,47,26,24,25,28,19,16,22,50,11,18,39,40,12,24,18,41,39
49,43,36,32,21,21,39,37,10,12,13,39,19,38,15,37,36,25,12,38,22,44,30,26,18,26,21,12,26,41,34,29,47,36,24,33,29,22,35,41,27,45,30,36,39,24,16,43,36,33
22,28,42,11,19,28,22,10,45,46,13,40,30,48,16,40,44,13,19,27,41,15,30,27,21,33,29,18,26,18,44,15,29,37,47,28,31,22,26,43,15,12,13,44,25,35,13,18,44,43
48,42,39,16,20,42,44,43,44,39,49,39,17,42,25,31,50,20,22,13,20,40,20,31,47,10,16,35,29,43,43,36,12,11,10,32,29,13,23,42,14,38,31,43,17,47,20,41,43,17
48,13,43,35,45,26,33,42,36,19,42,33,20,16,27,46,25,33,44,33,43,14,35,12,46,13,26,17,49,25,19,44,18,49,34,24,29,36,11,14,34,37,18,41,48,11,11,17,17,47
39,31,15,18,28,16,16,19,24,13,14,11,29,23,17,32,41,32,45,34,35,24,22,30,24,25,19,16,37,11,10,27,34,44,16,36,32,31,23,32,49,25,39,13,42,43,34,16,27,18
31,23,48,35,44,32,17,10,23,14,32,22,20,20,39,43,33,21,28,41,14,48,15,48,12,30,13,34,34,49,47,15,21,40,25,50,26,26,43,48,30,42,16,20,45,44,21,37,41,11
