16,25,15,48,24,37,36,26,40,47,44,46,7,38,43,45,50,13,15,48,26,7,14,49,17,41,46,7,25,15
41,46,44,6,19,32,45,42,16,47,25,47,11,5,25,44,43,9,43,31,12,32,22,6,10,16,33,41,20,36
18,41,36,8,25,11,39,39,49,32,23,25,7,47,24,36,13,46,13,45,44,25,48,10,22,17,47,45,49,15
45,40,41,26,6,22,22,20,36,10,20,11,15,26,9,43,45,13,28,46,47,26,48,23,40,36,49,33,26,15
16,31,16,41,48,45,21,39,33,9,5,21,37,13,41,35,13,49,15,19,46,36,42,28,9,32,26,25,44,23
20,32,20,14,33,23,37,38,46,9,28,16,23,27,44,46,16,38,16,7,8,46,24,23,15,9,18,11,39,9
7,19,34,34,38,35,37,12,45,45,11,26,25,48,48,11,9,46,28,15,44,20,23,38,26,14,17,36,10,20
19,20,28,19,18,32,39,40,28,19,35,44,39,42,47,15,38,46,7,6,18,33,29,8,17,15,25,36,35,45
39,9,14,31,5,37,17,22,37,12,10,20,49,41,42,36,8,23,43,8,24,16,40,34,33,42,42,27,18,20
23,16,15,14,42,28,24,33,45,40,14,11,18,47,36,7,27,14,20,50,28,31,41,10,40,32,37,28,11,41
