40,27,20,40,13,36,45,36,19,10
19,49,48,38,22,36,34,37,41,11
37,34,41,18,11,15,31,11,23,10
48,45,42,34,29,49,25,12,25,44
33,22,14,10,15,19,49,34,17,26
15,30,5,18,46,35,25,9,37,22
47,29,5,48,39,38,26,11,27,31
42,29,16,46,18,32,36,8,15,39
12,25,29,5,22,40,26,44,36,40
42,34,44,11,39,9,8,47,30,11
41,8,49,39,42,42,46,46,19,31
48,19,24,25,48,28,28,39,36,43
33,30,47,31,13,23,20,43,34,50
47,50,7,28,15,29,19,23,46,17
23,12,24,25,8,40,9,39,48,9
30,44,49,49,37,11,36,46,44,46
16,41,31,38,32,9,11,20,38,46
37,24,26,38,33,37,38,14,9,23
15,38,36,49,15,33,18,25,45,17
5,42,16,46,46,38,41,11,25,44
