43,29,39,11,40,43,17,41,36,17
34,30,44,35,42,45,24,18,31,38
43,33,46,41,11,44,12,16,36,50
39,16,20,46,39,36,35,29,13,32
27,28,26,11,15,18,25,36,41,17
13,22,44,44,35,21,12,37,16,26
32,16,35,29,16,38,14,40,43,24
21,19,12,21,23,40,31,24,38,39
40,14,41,34,47,14,35,21,41,44
42,37,18,43,13,24,20,16,36,23
41,19,37,47,26,18,11,49,29,21
29,48,25,26,39,14,47,38,20,15
13,43,14,42,11,19,22,28,15,12
40,37,37,17,25,18,19,34,13,35
40,27,19,46,20,21,11,42,37,27
15,11,49,45,10,18,47,25,36,30
43,46,28,46,13,44,28,31,43,50
40,47,45,28,30,34,41,49,15,47
25,33,45,17,30,38,29,15,22,20
37,42,40,36,36,27,34,37,36,19
