8,13,19,7,35,20,30,25,29,26,28,43,8,19,10,46,26,33,27,26,7,6,32,38,45,42,26,21,21,25
27,31,30,39,35,38,41,9,43,30,14,23,46,43,43,36,43,32,41,44,44,19,6,34,45,40,40,49,13,45
34,48,40,6,23,13,23,33,36,38,35,17,28,29,16,35,29,13,49,9,20,10,19,49,49,24,49,16,9,14
41,46,27,40,20,41,21,36,20,21,25,31,47,39,9,19,25,21,23,27,7,22,25,28,9,47,27,5,46,30
49,42,5,35,38,12,24,32,43,26,21,42,7,11,49,39,33,27,49,40,36,42,34,6,31,25,30,39,6,9
41,50,12,37,25,36,6,13,29,44,28,11,34,41,47,23,23,9,21,26,50,6,6,15,44,24,26,24,48,5
45,37,11,9,17,24,35,20,37,48,39,34,34,13,19,46,45,31,25,16,10,31,12,18,6,12,20,11,35,48
13,8,34,39,21,34,21,32,13,15,21,30,37,46,30,25,12,7,6,43,41,23,38,34,35,10,36,21,19,42
37,20,34,19,33,28,35,24,21,47,29,30,36,23,26,24,20,7,40,8,27,9,14,42,9,20,12,31,40,15
45,41,25,16,13,29,21,41,32,15,42,24,17,45,21,17,27,7,12,42,43,35,23,26,29,33,30,46,7,30
