42,23,32,21,25,38,23,11,41,42,30,25,45,12,26,17,44,24,19,49
23,49,41,33,42,12,27,48,18,23,45,34,48,18,25,37,45,18,27,34
31,25,26,47,19,13,50,42,30,45,20,18,24,21,18,15,42,43,39,23
39,22,30,47,30,39,18,46,37,34,17,48,42,40,23,43,12,43,34,22
20,35,48,18,47,22,48,41,49,21,12,38,18,19,28,46,23,46,17,13
15,46,38,48,15,44,29,41,47,12,12,23,44,39,25,14,26,21,37,17
14,13,18,25,17,17,19,17,38,36,29,20,26,10,18,48,24,13,15,28
42,17,21,50,31,36,35,38,48,44,38,13,30,36,34,18,17,18,19,21
13,40,30,27,49,35,43,43,40,50,27,22,32,41,16,27,45,14,21,30
28,46,22,42,42,11,11,41,33,43,15,13,28,19,50,33,15,43,33,42
