34,13,11,28,16,45,38,43,31,34,47,13,22,33,11,15,49,30,46,37,42,12,15,47,42,22,42,21,44,46
31,29,13,13,33,22,31,30,49,20,10,29,47,31,18,39,12,46,13,22,43,18,38,34,39,16,37,31,46,30
46,48,41,46,31,44,29,31,14,46,26,11,44,22,37,27,21,37,37,47,25,29,16,15,34,35,37,25,13,41
19,47,48,20,12,30,36,29,44,26,36,22,13,24,14,38,29,26,42,32,14,46,14,34,22,45,17,35,25,30
26,46,12,18,23,14,17,12,36,30,14,43,34,35,50,27,46,25,49,15,13,48,23,15,27,21,43,32,45,46
41,37,24,14,32,13,21,17,41,23,48,39,14,20,47,47,36,34,15,47,19,46,18,10,41,46,14,41,14,16
14,29,15,32,42,19,21,29,35,23,25,37,32,36,41,39,46,20,21,46,19,45,25,30,29,44,49,30,18,40
28,47,50,15,38,46,14,13,38,40,50,39,27,22,24,14,10,32,20,41,37,28,48,36,15,46,38,23,30,47
48,39,28,24,49,24,23,46,20,24,37,20,29,16,35,16,33,24,35,50,46,47,36,45,49,33,14,48,50,45
35,34,12,19,41,45,11,21,25,48,30,15,39,26,33,37,15,23,25,25,13,45,35,13,20,47,26,32,43,20
