7,3,5,5,5,10,11,3,1,5,12,2,5,5,8,11,14,9,8,5
5,5,7,9,1,10,2,7,9,4,8,11,5,7,10,8,2,7,9,9
3,6,12,6,14,11,7,2,3,3,2,3,8,2,8,6,5,5,4,10
8,6,5,4,8,7,2,13,7,3,8,12,8,6,3,5,10,5,2,5
7,4,4,5,3,6,3,10,4,3,5,12,5,3,4,10,6,11,4,2
12,4,2,2,5,6,4,4,2,3,7,7,5,5,3,5,3,8,8,13
6,4,8,9,8,9,3,6,5,2,6,4,6,6,7,6,5,3,2,10
2,4,5,8,3,7,2,2,7,2,6,9,9,7,2,3,12,4,1,5
10,4,4,4,4,9,6,5,10,9,5,7,1,8,2,2,4,2,7,8
7,4,7,4,3,2,8,5,8,7,2,11,6,14,3,7,8,3,3,12
2,6,7,12,2,8,13,4,9,8,8,10,2,5,11,11,6,7,3,5
8,2,4,4,11,7,5,11,7,13,7,9,3,4,10,9,4,13,4,3
5,1,4,4,11,2,5,6,10,2,6,4,3,2,6,9,6,4,4,7
9,8,5,7,4,11,8,9,7,3,6,7,7,5,12,9,6,9,10,3
6,5,2,4,4,11,3,11,6,10,4,10,9,4,8,4,5,7,8,5
3,3,4,6,3,4,8,6,4,6,3,6,7,6,2,7,8,8,12,4
7,8,8,8,2,10,10,1,6,7,8,3,9,5,7,8,6,8,4,11
6,1,9,5,5,11,6,3,6,11,7,6,2,5,9,6,5,10,5,5
7,7,7,6,7,9,3,4,3,6,7,4,5,6,7,8,6,4,7,4
5,7,4,8,9,3,10,2,6,7,13,5,4,9,5,4,4,11,4,4
