39,31,34,48,32,29,34,36,37,49
35,39,26,50,41,32,18,30,42,44
50,46,24,47,11,12,14,14,40,22
10,34,40,32,21,46,10,49,18,46
42,19,23,26,17,40,24,18,34,39
25,16,15,23,49,13,18,40,40,44
48,36,43,39,31,38,31,46,34,45
31,18,49,18,42,27,48,26,45,49
11,46,33,49,36,21,49,21,41,24
41,16,39,21,12,18,18,27,47,48
25,21,39,30,31,23,10,45,46,25
35,21,36,41,24,21,23,22,38,17
35,24,47,39,37,31,19,33,22,18
20,34,22,22,33,34,27,45,19,43
47,12,44,50,21,27,37,17,22,27
19,47,31,21,20,31,15,20,37,43
36,26,38,32,11,41,16,30,46,21
42,48,17,44,18,41,42,14,33,45
33,46,20,33,20,34,47,11,49,43
30,11,12,12,20,43,25,43,25,45
