8,3,4,8,8,3,12,11,2,2,4,4,1,5,2,7,11,7,13,5,8,3,12,7,5,9,10,2,6,3
7,11,3,5,2,11,4,3,4,5,7,8,9,2,5,3,7,2,5,4,5,12,8,8,7,3,4,7,10,2
9,8,8,7,3,3,10,10,12,3,9,6,3,10,8,8,10,4,7,4,5,2,5,9,10,7,4,3,11,11
6,4,5,9,4,11,9,10,11,5,9,7,4,2,3,4,5,4,5,4,8,2,3,6,1,11,8,8,2,10
8,10,3,4,5,4,8,3,7,10,4,5,4,4,7,3,7,8,5,3,6,11,4,3,3,2,11,5,3,13
3,3,8,9,4,9,4,4,3,5,7,6,5,5,8,2,8,9,9,1,4,4,5,3,5,5,6,4,9,5
4,4,4,4,2,10,7,3,3,4,6,7,7,2,6,9,2,6,7,8,2,5,8,13,5,5,5,4,5,5
2,4,5,3,4,10,9,2,12,6,2,6,11,8,9,3,5,13,3,6,7,6,7,3,6,4,2,3,3,5
3,5,12,6,10,4,2,6,7,5,10,2,4,8,5,2,10,2,6,4,4,8,9,2,6,13,4,4,4,6
4,3,10,2,7,3,12,3,5,3,7,9,5,8,10,4,10,11,7,11,3,8,7,2,9,7,8,8,5,3
