5,10,8,2,4,8,10,7,9,5,11,10,14,6,4,9,3,9,5,8
4,6,3,8,5,6,14,9,8,6,5,12,7,3,3,7,2,2,7,11
2,6,2,3,4,8,3,12,3,10,5,4,7,5,3,4,2,7,5,5
3,10,4,3,13,6,13,5,5,4,8,6,13,6,2,5,3,9,7,3
6,1,9,4,8,7,8,3,6,5,3,7,5,15,3,5,9,4,10,10
4,9,2,7,2,7,4,3,4,3,7,2,9,11,2,10,4,4,3,3
11,3,3,10,3,4,4,2,12,6,3,5,5,2,7,3,3,6,7,3
4,13,7,2,4,6,11,2,5,2,4,8,7,9,2,3,6,4,3,7
13,2,5,3,7,3,4,6,5,8,10,9,3,10,3,10,7,6,9,5
5,6,5,9,2,9,6,4,5,1,4,12,4,5,11,5,11,6,3,4
4,8,4,14,7,4,7,3,2,2,2,3,7,10,3,10,2,8,6,5
5,8,6,5,5,9,8,3,6,8,2,3,11,4,3,5,4,7,10,7
3,7,3,4,9,4,4,5,9,10,10,4,9,8,5,6,5,8,4,5
12,3,7,9,4,4,6,5,9,6,13,3,7,3,3,7,10,7,10,9
5,5,4,8,9,10,11,5,4,9,6,6,6,4,11,5,10,5,7,3
11,8,4,1,4,3,8,4,4,4,3,3,13,5,5,11,8,4,6,7
3,7,4,4,10,9,5,5,5,5,3,8,4,6,3,10,2,5,5,13
2,10,7,8,9,6,7,12,1,3,8,3,6,10,7,14,4,5,4,4
4,10,10,8,6,6,7,5,8,7,3,13,3,7,10,4,5,4,2,3
8,3,3,7,9,1,14,6,10,3,3,8,7,13,9,11,6,9,2,5
