11,47,26,23,20,33,44,45,36,24,24,33,24,34,25,22,27,36,14,46,36,45,45,44,42,38,32,15,47,20,13,24,19,29,45,10,30,12,31,43,21,15,11,12,36,30,11,32,47,27,15,49,16,18,17,50,46,17,35,28,24,40,32,13,22,40,29,19,22,26,43,47,28,27,45,30,30,20,35,15,24,33,12,41,19,19,28,41,21,22,29,50,35,38,39,27,48,29,38,20
23,43,40,12,22,39,37,18,38,33,15,43,24,41,15,25,45,38,13,32,41,30,46,49,47,23,10,23,31,32,29,35,44,22,29,22,13,22,48,48,18,30,44,32,38,29,47,26,46,41,44,20,32,16,39,44,40,20,16,30,33,18,49,10,38,20,44,29,15,19,14,29,34,27,47,12,37,17,40,41,36,48,36,15,16,40,28,32,28,11,28,31,19,23,26,15,45,29,37,13
27,30,17,31,37,42,32,46,37,13,38,37,41,34,27,12,22,13,11,38,28,28,23,29,43,28,48,38,36,26,50,37,20,27,37,10,17,29,35,15,50,26,38,41,17,41,41,16,21,43,15,16,21,25,12,39,32,21,13,16,12,23,42,29,18,19,14,47,12,22,20,29,48,36,47,12,43,35,27,13,40,44,17,19,45,15,23,48,41,17,34,31,45,31,34,37,37,50,19,17
29,50,26,39,31,18,29,19,32,50,13,50,13,10,39,20,13,15,19,11,33,36,20,23,42,10,17,17,42,16,49,35,18,29,30,40,32,20,39,25,29,47,43,47,18,19,22,37,21,10,18,21,32,23,18,22,33,42,31,32,12,38,23,29,14,48,12,45,40,47,32,29,19,17,37,33,41,33,17,29,21,11,40,13,31,37,16,33,22,36,15,34,16,27,35,46,36,30,49,18
49,31,12,25,48,18,48,20,47,12,20,42,42,36,19,13,35,36,38,26,47,28,29,22,27,18,21,16,25,45,35,50,39,35,24,16,31,38,26,36,42,45,28,16,25,34,40,27,23,35,11,19,47,47,28,32,13,35,18,16,38,11,25,45,31,37,22,32,26,43,48,40,48,17,13,39,12,50,33,36,24,23,22,36,47,13,17,15,17,39,14,31,47,14,32,36,42,10,43,17
43,28,19,33,22,40,47,17,17,21,30,13,46,23,40,42,26,50,22,22,38,39,43,19,13,47,33,20,38,34,10,40,14,28,28,47,48,35,45,12,25,23,18,46,42,25,32,16,27,33,18,12,39,29,37,21,45,46,46,47,12,35,41,23,27,27,25,14,50,15,40,29,35,45,26,34,26,17,10,49,20,21,45,39,50,31,45,23,41,23,11,12,25,33,19,25,42,12,48,33
17,17,20,13,43,49,23,36,19,44,31,45,36,33,29,19,27,27,50,22,43,35,11,22,29,31,22,17,43,39,41,36,25,32,46,31,35,46,21,23,32,26,13,24,28,19,26,20,35,48,46,33,19,20,18,49,30,39,21,47,48,41,34,14,22,16,45,38,32,41,16,44,28,30,33,44,34,22,11,18,20,31,20,17,14,13,47,42,13,24,11,20,16,35,37,32,18,20,31,22
34,13,40,43,42,36,22,38,24,21,16,41,31,11,29,30,15,46,28,37,20,31,48,26,31,19,39,40,33,43,44,15,45,20,29,48,14,43,19,48,34,37,33,43,38,43,50,38,38,19,29,34,44,39,20,23,38,14,17,35,49,22,29,31,44,37,16,40,11,12,20,34,21,36,22,46,45,15,42,20,32,34,25,43,42,27,40,47,41,18,13,12,29,10,30,24,23,23,12,37
27,48,30,47,35,32,40,49,26,15,37,34,29,32,20,26,24,23,32,29,40,22,37,42,36,20,39,50,46,28,18,37,13,19,40,37,25,36,30,25,22,21,29,45,30,17,13,19,35,47,10,35,33,23,28,27,36,38,29,42,32,13,28,23,14,20,16,11,30,36,39,15,17,16,28,29,29,31,18,35,17,11,48,17,44,11,23,48,13,48,27,21,23,45,37,30,14,40,48,13
12,41,24,22,37,35,31,17,29,37,17,42,47,43,23,23,28,46,47,16,18,28,36,23,29,45,44,42,30,25,13,42,44,38,22,50,21,20,22,24,35,36,10,23,15,31,22,18,45,25,13,35,17,23,16,25,38,31,26,42,33,24,41,22,42,15,28,48,34,29,27,49,39,29,44,37,34,14,23,26,38,33,44,13,26,22,19,11,38,12,19,39,28,13,11,43,17,41,37,20
