43,15,15,20,34,19,26,21,42,28,35,10,31,10,32,38,6,20,27,35,31,34,31,36,22,23,18,13,25,14,19,48,26,41,23,45,19,20,36,26,8,22,9,9,16,27,10,12,33,35,28,16,8,5,28,9,24,42,36,50,18,45,44,38,37,6,26,9,12,27,9,22,9,40,37,18,31,34,10,47,17,46,8,18,21,14,43,29,20,43,29,30,18,6,22,46,35,12,15,26
20,31,38,36,29,34,37,11,41,6,7,46,9,45,17,38,21,15,33,18,9,42,39,41,35,10,8,14,21,6,42,45,36,46,44,39,36,22,11,23,27,8,37,8,27,13,47,40,26,34,42,37,37,37,34,46,19,12,6,20,48,46,15,32,27,49,31,15,23,28,46,43,26,48,20,16,17,25,46,34,12,28,36,43,47,47,30,27,21,43,8,28,41,30,35,21,34,22,16,29
9,29,28,24,40,35,14,33,45,31,49,19,33,24,32,19,14,21,31,28,24,11,45,9,6,45,35,10,47,30,32,41,42,8,37,23,34,15,41,23,42,41,15,36,40,26,41,36,26,18,20,16,15,43,25,38,19,43,46,48,5,12,40,21,38,22,11,19,44,30,20,27,39,13,12,15,12,47,19,25,50,20,9,16,30,49,45,20,20,35,45,46,37,27,43,20,9,24,6,25
34,11,6,39,19,7,26,5,44,25,13,33,33,31,19,26,34,25,42,5,39,20,32,50,41,31,24,41,21,21,35,24,8,17,8,17,7,34,26,15,25,46,26,31,27,42,43,30,33,41,17,48,15,24,48,26,43,28,24,8,40,5,41,35,24,41,28,49,17,41,11,49,49,6,42,23,47,14,44,35,17,12,37,39,39,28,16,14,42,49,25,32,38,13,40,35,24,37,34,21
34,17,45,18,22,15,47,28,24,6,11,12,30,14,42,27,16,35,12,27,31,26,31,36,47,28,46,15,18,25,25,45,46,31,18,39,25,49,12,7,5,28,17,14,13,8,22,20,43,18,7,50,42,24,43,43,35,50,32,17,15,10,31,50,42,42,39,20,22,10,42,16,24,11,41,29,39,29,11,37,16,11,7,24,7,20,39,18,12,15,38,21,5,34,9,10,11,20,22,23
50,34,46,25,6,42,27,7,27,47,8,12,28,30,36,14,9,11,29,34,21,43,12,33,10,27,46,31,48,36,47,44,11,14,28,8,33,28,14,10,43,15,26,43,6,15,49,17,19,18,41,38,40,11,35,19,19,46,42,23,21,42,38,34,14,32,30,36,32,48,17,38,43,13,11,23,20,37,24,18,34,35,19,6,37,24,6,41,46,6,29,27,40,24,43,31,38,29,36,48
34,25,5,38,32,8,29,6,5,22,44,33,9,27,11,49,34,47,18,28,25,10,33,13,33,20,10,20,50,23,21,14,35,21,10,13,47,9,19,43,30,49,39,8,11,28,16,25,39,34,14,37,21,38,6,34,14,27,29,14,20,27,45,12,35,41,47,43,37,29,32,42,40,45,12,16,40,23,6,19,41,37,45,38,37,16,48,6,19,26,31,14,33,37,48,34,19,26,6,32
29,39,45,46,44,37,49,42,46,43,49,40,14,29,47,26,30,16,6,6,19,37,47,18,27,5,22,10,23,11,11,23,50,26,49,40,39,30,49,50,8,39,14,25,22,27,28,38,32,37,25,11,25,27,9,21,24,49,49,18,12,35,35,18,12,28,33,41,28,16,12,17,40,24,27,19,28,16,16,18,24,18,33,12,7,38,22,11,5,28,36,9,26,50,31,25,26,10,17,12
8,10,37,14,49,11,35,43,39,47,15,8,34,15,47,19,28,11,47,34,43,29,45,13,22,46,47,33,12,5,48,42,38,5,41,48,22,40,25,43,38,14,6,47,19,40,10,14,26,25,42,26,5,23,26,23,25,40,48,16,41,12,19,36,48,45,42,27,45,11,46,17,39,23,28,18,19,39,24,24,43,40,49,9,7,14,43,12,6,36,30,36,47,33,7,34,49,44,19,24
17,48,18,18,47,8,37,44,34,40,46,32,24,44,10,48,14,38,23,18,30,36,18,40,39,10,15,8,23,12,44,47,41,22,8,48,36,31,12,9,24,34,32,18,12,16,5,41,48,23,26,22,25,39,10,29,35,39,26,19,17,42,36,36,20,19,28,39,40,12,6,17,32,30,33,16,26,44,9,48,34,12,14,47,43,7,22,37,44,7,42,47,24,28,45,42,15,43,44,14
